symbol,name,exchange,last_close,last_volume
APVO,Aptevo Therapeutics Inc. - Common Stock,NASDAQ,4.190000057220459,3461.0
APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",NASDAQ,1.6100000143051147,4330.0
APXT,Apex Treasury Corporation - Class A Ordinary Share,NASDAQ,10.100000381469727,203200.0
APYX,Apyx Medical Corporation - Common Stock,NASDAQ,4.139999866485596,18682.0
AQB,"AquaBounty Technologies, Inc. - Common Stock",NASDAQ,0.9898999929428101,43096.0
AQMS,"Aqua Metals, Inc. - Common Stock",NASDAQ,2.6700000762939453,82907.0
AQN,Algonquin Power & Utilities Corp. Common Shares,NYSE,5.769999980926514,2460698.0
AQST,"Aquestive Therapeutics, Inc. - Common Stock",NASDAQ,3.755000114440918,1460869.0
ARAI,Arrive AI Inc. - Common Stock,NASDAQ,0.24040000140666962,354692.0
ARAY,Accuray Incorporated - Common Stock,NASDAQ,0.2743000090122223,690768.0
ARBB,ARB IOT Group Limited - Ordinary Shares,NASDAQ,4.289999961853027,2575.0
ARBE,Arbe Robotics Ltd. - Ordinary Shares,NASDAQ,0.7063999772071838,770591.0
ARCI,Archimedes Tech SPAC Partners III Co. - Ordinary Share,NASDAQ,10.15999984741211,1220.0
ARCL,ARC Group Acquisition I Corp - Class A Ordinary Shares,NASDAQ,9.949999809265137,0.0
ARCO,Arcos Dorados Holdings Inc. Class A Shares,NYSE,8.470000267028809,845947.0
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,NASDAQ,6.260000228881836,448578.0
ARDT,"Ardent Health, Inc. Common Stock",NYSE,11.15999984741211,939628.0
ARDX,"Ardelyx, Inc. - Common Stock",NASDAQ,4.909999847412109,3100442.0
AREC,American Resources Corporation - Class A Common Stock,NASDAQ,2.140000104904175,2527139.0
ARHS,"Arhaus, Inc. - Class A Common Stock",NASDAQ,8.229999542236328,4243304.0
ARI,"Apollo Commercial Real Estate Finance, Inc",NYSE,6.659999847412109,1673622.0
ARKO,ARKO Corp. - Common Stock,NASDAQ,7.360000133514404,930290.0
ARKR,Ark Restaurants Corp. - Common Stock,NASDAQ,5.599999904632568,1180.0
ARL,"American Realty Investors, Inc. Common Stock",NYSE,14.989999771118164,6045.0
ARQ,"Arq, Inc. - Common Stock",NASDAQ,2.049999952316284,174214.0
ARRY,"Array Technologies, Inc. - Common Stock",NASDAQ,5.639999866485596,9036441.0
ARTC,Art Technology Acquisition Corp. - Class A Ordinary Shares,NASDAQ,9.970000267028809,0.0
ARTL,"Artelo Biosciences, Inc. - Common Stock",NASDAQ,0.7512999773025513,113709.0
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",NASDAQ,11.59000015258789,541997.0
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",NASDAQ,2.2049999237060547,6928.0
ARVN,"Arvinas, Inc. - Common Stock",NASDAQ,8.399999618530273,1542032.0
ARX,Accelerant Holdings Class A Common Shares,NYSE,12.260000228881836,1164659.0
ASAN,"Asana, Inc. Class A Common Stock",NYSE,8.880000114440918,4026627.0
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",NASDAQ,7.260000228881836,10190.0
ASLE,AerSale Corporation - Common Stock,NASDAQ,6.440000057220459,241153.0
ASPC,A SPAC III Acquisition Corp. - Class A Ordinary Shares,NASDAQ,10.550000190734863,390.0
ASPI,ASP Isotopes Inc. - Common Stock,NASDAQ,4.050000190734863,4694249.0
ASPN,"Aspen Aerogels, Inc. Common Stock",NYSE,5.010000228881836,987025.0
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,NASDAQ,5.590000152587891,20427.0
ASRV,AmeriServ Financial Inc. - Common Stock,NASDAQ,4.619999885559082,34547.0
ASST,"Strive, Inc. - Class A Common Stock",NASDAQ,12.449999809265137,2129210.0
ASTC,Astrotech Corporation - Common Stock,NASDAQ,9.109999656677246,3904682.0
ASTI,"Ascent Solar Technologies, Inc - Common Stock",NASDAQ,3.240000009536743,502711.0
ASTL,Algoma Steel Group Inc. - Common Shares,NASDAQ,4.460000038146973,1459445.0
ASUR,Asure Software Inc - Common Stock,NASDAQ,8.600000381469727,103213.0
ATAI,AtaiBeckley Inc. - Common Stock,NASDAQ,7.21999979019165,9508924.0
ATCX,Atlas Critical Minerals Corporation - Common Stock,NASDAQ,2.6500000953674316,6673.0
ATEC,"Alphatec Holdings, Inc. - Common Stock",NASDAQ,9.569999694824219,5137408.0
ATER,"Aterian, Inc. - Common Stock",NASDAQ,0.5056999921798706,110125.0
ATGL,Alpha Technology Group Limited - Class A Ordinary Shares,NASDAQ,7.400000095367432,1219.0
ATHR,"Aether Holdings, Inc. - Common Stock",NASDAQ,3.859999895095825,1026.0
