ticker,date,prior_close,open_price,gap_pct,high,low,close_price,volume,avg_volume,volume_ratio,daily_gain_high_from_open,daily_drawdown_low_from_open,close_vs_open_pct,intraday_open,max_gain_from_open,max_drawdown_from_open,max_drawdown_before_peak,risk_reward,time_of_peak,minutes_to_peak,time_of_low,intraday_high,intraday_low,intraday_close,intraday_source,bars,gap_bucket,price_bucket,trade_outcome,trade_entry_price,trade_exit_price,trade_exit_time,trade_return_pct,trade_minutes_held,trade_bars_held,trade_mfe_pct,trade_mae_pct
ANNA,2026-03-24,5.454999923706055,6.909999847412109,26.67277624300216,8.619999885559082,6.849999904632568,7.679999828338623,60936000,12907680.0,4.720910341750028,24.746744948010257,0.8683059928288106,11.143270592326992,,,,,,,,,,,,,,20-50%,$3-7,no_data,,,,,,,,
AIFF,2026-03-26,1.6799999475479126,2.059999942779541,22.619048041416143,3.1500000953674316,2.009999990463257,3.0199999809265137,109821900,11816440.0,9.293992099143228,52.912630236152445,2.427182218695582,46.601944893826186,,,,,,,,,,,,,,20-50%,$1-3,no_data,,,,,,,,
ADVB,2026-04-07,4.420000076293945,7.135000228881836,61.42534175846321,7.590000152587891,6.039999961853027,6.519999980926514,14958000,553290.0,27.03464729165537,6.377013442329773,15.346884819938008,-8.619484628267521,,,,,,,,,,,,,,50%+,$7-10,no_data,,,,,,,,
ACIU,2026-04-08,3.109999895095825,3.2899999618530273,5.787783692245301,3.4000000953674316,3.109999895095825,3.2100000381469727,507600,216590.0,2.3435985040860614,3.3434691425482237,5.471126712591834,-2.4316086514784128,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
ALOY,2026-04-09,7.989999771118164,8.420000076293945,5.381731132585561,9.925000190734863,8.329999923706055,9.880000114440918,3122100,1353050.0,2.307453530911644,17.874110460855746,1.0688854129738217,17.339667754368836,,,,,,,,,,,,,,5-10%,$7-10,no_data,,,,,,,,
ALLO,2026-04-13,2.7200000286102295,4.090000152587891,50.36765108703531,4.460000038146973,3.009999990463257,3.059999942779541,87821000,4790940.0,18.33064075108434,9.046451632158735,26.4058709494492,-25.18337827338787,,,,,,,,,,,,,,50%+,$3-7,no_data,,,,,,,,
ACET,2026-04-14,6.349999904632568,6.840000152587891,7.716539453769886,7.099999904632568,6.789999961853027,7.0,387100,136470.0,2.8365208470726166,3.801165880768405,0.7309969242609722,2.3391790035497877,,,,,,,,,,,,,,5-10%,$3-7,no_data,,,,,,,,
AIFA,2026-04-15,1.968000054359436,3.1080000400543213,57.92682694137138,5.754000186920166,2.538000106811523,2.8320000171661377,80163817,1783018.2,44.95961791079867,85.1351387633701,18.339765955499647,-8.880309502292018,,,,,,,,,,,,,,50%+,$3-7,no_data,,,,,,,,
ACHV,2026-04-16,3.549999952316284,4.050000190734863,14.084513947453484,5.25,3.9800000190734863,4.809999942779541,14059300,676540.0,20.781180713631123,29.629623524718884,1.7283992188819028,18.765425092653576,,,,,,,,,,,,,,10-20%,$3-7,no_data,,,,,,,,
ACTU,2026-04-20,2.309999942779541,2.490000009536743,7.792210875148959,3.0999999046325684,2.4000000953674316,2.619999885559082,1011500,189210.0,5.345911949685535,24.497987661024705,3.6144543704662766,5.220878535117955,,,,,,,,,,,,,,5-10%,$1-3,no_data,,,,,,,,
