min_gain_from_open_pct,min_volume_mult,take_profit_pct,stop_loss_pct,sessions_scanned,entries_triggered,num_trades,win_rate_pct,avg_profit_pct,median_profit_pct,total_return_pct,tp_hit_pct,sl_hit_pct,eod_exit_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_r,median_minutes_held,ambiguous_excluded
2.0,1.5,5.0,5.0,25,21,21,33.33333333333333,-1.666666666666669,-5.0,-35.00000000000005,33.33333333333333,66.66666666666666,0.0,5.000000000000004,-5.000000000000004,0.5,-0.3333333333333335,0.0,0
8.0,2.0,5.0,8.0,25,14,14,42.857142857142854,-1.670525974965877,-3.7007366048358863,-23.38736364952228,35.714285714285715,35.714285714285715,28.57142857142857,4.720818395730681,-6.464034252988295,0.5477405685406447,-0.2584339608339173,10.0,0
2.0,2.0,5.0,3.0,25,21,21,19.047619047619047,-1.6829571739924813,-3.000000000000001,-35.34210065384211,14.285714285714285,80.95238095238095,4.761904761904762,3.914474836539491,-3.0000000000000044,0.30701763423839096,-0.5609857246641596,0.0,0
8.0,3.0,10.0,3.0,25,10,10,10.0,-1.7000000000000033,-3.0000000000000027,-17.000000000000032,10.0,90.0,0.0,10.000000000000005,-3.000000000000004,0.3703703703703701,-0.566666666666667,0.0,0
10.0,5.0,20.0,10.0,25,8,8,25.0,-1.70490449050574,-9.999999999999996,-13.63923592404592,25.0,62.5,12.5,19.99999999999999,-8.939872654007651,0.7457227775697751,-0.19070791682266852,12.5,0
5.0,2.0,10.0,3.0,25,18,18,11.11111111111111,-1.7623860738447232,-3.0000000000000013,-31.72294932920502,5.555555555555555,88.88888888888889,5.555555555555555,8.13852533539752,-3.0000000000000036,0.33910522230822965,-0.587462024614907,0.0,0
8.0,5.0,10.0,10.0,25,9,9,33.33333333333333,-1.8011003108436574,-3.3651575753219913,-16.209902797592918,33.33333333333333,44.44444444444444,22.22222222222222,10.000000000000005,-7.70165046626549,0.649211493289761,-0.23385900447349256,10.0,0
8.0,5.0,15.0,8.0,25,9,9,22.22222222222222,-1.8011003108436607,-7.999999999999992,-16.209902797592946,22.22222222222222,55.55555555555556,22.22222222222222,14.99999999999999,-6.601414685370419,0.6492114932897602,-0.27283550521907524,10.0,0
8.0,2.0,10.0,5.0,25,14,14,21.428571428571427,-1.803010069969224,-4.655400407117309,-25.242140979569136,14.285714285714285,50.0,35.714285714285715,7.774970124794688,-4.415186486723018,0.4802620238233898,-0.4083655527101938,5.0,0
2.0,1.5,5.0,3.0,25,21,21,14.285714285714285,-1.8571428571428579,-2.999999999999999,-39.000000000000014,14.285714285714285,85.71428571428571,0.0,5.000000000000004,-3.0000000000000018,0.27777777777777785,-0.619047619047619,0.0,0
8.0,2.0,5.0,3.0,25,14,14,14.285714285714285,-1.8571428571428592,-3.000000000000002,-26.00000000000003,14.285714285714285,85.71428571428571,0.0,5.000000000000011,-3.000000000000005,0.27777777777777796,-0.6190476190476187,0.0,0
15.0,3.0,20.0,5.0,25,8,8,12.5,-1.8750000000000058,-5.000000000000006,-15.000000000000046,12.5,87.5,0.0,20.0,-5.000000000000007,0.5714285714285706,-0.3750000000000006,0.0,0
8.0,1.5,15.0,5.0,25,16,16,18.75,-1.8775154500586266,-5.0000000000000036,-30.040247200938026,12.5,75.0,12.5,11.108303458128011,-4.874242890409389,0.5259185276193904,-0.3851911963092454,0.0,0
2.0,3.0,5.0,8.0,25,13,13,46.15384615384615,-1.887754020499942,-2.00803428193742,-24.540802266499245,30.76923076923077,38.46153846153847,30.76923076923077,4.077232088393427,-7.000599256694258,0.4992101723489227,-0.2696560610428878,5.0,0
5.0,3.0,5.0,5.0,25,12,12,25.0,-1.9838919312674097,-4.999999999999998,-23.806703175208916,16.666666666666664,58.333333333333336,25.0,4.6018310614008655,-4.179132928823501,0.367048311996492,-0.4747137660026311,0.0,0
15.0,2.0,5.0,3.0,25,8,8,12.5,-2.000000000000001,-3.0000000000000018,-16.000000000000007,12.5,87.5,0.0,5.00000000000001,-3.0000000000000027,0.23809523809523836,-0.6666666666666664,0.0,0
15.0,3.0,5.0,3.0,25,8,8,12.5,-2.0000000000000027,-3.0000000000000018,-16.00000000000002,12.5,87.5,0.0,5.000000000000003,-3.0000000000000036,0.23809523809523794,-0.6666666666666667,0.0,0
10.0,5.0,5.0,3.0,25,8,8,12.5,-2.0000000000000036,-3.0000000000000058,-16.00000000000003,12.5,87.5,0.0,5.00000000000001,-3.000000000000005,0.23809523809523817,-0.6666666666666667,0.0,0
8.0,2.0,10.0,8.0,25,14,14,28.57142857142857,-2.0172957842549324,-4.1735582242922,-28.24214097956905,21.428571428571427,42.857142857142854,35.714285714285715,8.331227593596019,-6.156705135395312,0.5412783240632546,-0.32765833995481825,17.5,0
2.0,2.0,15.0,5.0,25,21,21,19.047619047619047,-2.0183389243662297,-5.000000000000003,-42.38511741169082,9.523809523809524,71.42857142857143,19.047619047619047,10.015186406229386,-4.849756649212257,0.48590364815672327,-0.4161732372064622,10.0,0
8.0,5.0,20.0,5.0,25,9,9,11.11111111111111,-2.040573063924669,-5.0000000000000036,-18.36515757532202,11.11111111111111,77.77777777777779,11.11111111111111,20.0,-4.795644696915252,0.5213063431509216,-0.4255054727547364,5.0,0
2.0,5.0,5.0,3.0,25,10,10,10.0,-2.0552840164532573,-3.0000000000000004,-20.552840164532572,10.0,80.0,10.0,5.0000000000000036,-2.839204462725842,0.19567296503267056,-0.7238943314705963,0.0,0
5.0,5.0,5.0,3.0,25,10,10,10.0,-2.0552840164532578,-3.0000000000000013,-20.55284016453258,10.0,80.0,10.0,5.0000000000000036,-2.8392044627258426,0.19567296503267054,-0.7238943314705965,0.0,0
