ticker,bar,observed_at,age_s,volume,close
BRCC,2026-08-03 15:55:00-04:00,2026-08-03 23:40:28.144106-04:00,27868.144106,9003.0,1.059999942779541
BRCC,2026-08-03 15:56:00-04:00,2026-08-03 23:40:28.144106-04:00,27808.144106,3913.0,1.0700000524520874
BRCC,2026-08-03 15:57:00-04:00,2026-08-03 23:40:28.144106-04:00,27748.144106,39976.0,1.0549999475479126
BRCC,2026-08-03 15:58:00-04:00,2026-08-03 23:40:28.144106-04:00,27688.144106,48757.0,1.034999966621399
BRCC,2026-08-03 15:59:00-04:00,2026-08-03 23:40:28.144106-04:00,27628.144106,213429.0,0.9948999881744385
BRLT,2026-08-03 14:56:00-04:00,2026-08-03 23:40:28.144106-04:00,31408.144106,2505.0,1.0750000476837158
BRLT,2026-08-03 14:57:00-04:00,2026-08-03 23:40:28.144106-04:00,31348.144106,1335.0,1.065000057220459
BRLT,2026-08-03 15:01:00-04:00,2026-08-03 23:40:28.144106-04:00,31108.144106,581.0,1.0700000524520874
BRLT,2026-08-03 15:29:00-04:00,2026-08-03 23:40:28.144106-04:00,29428.144106,1218.0,1.065000057220459
BRLT,2026-08-03 15:54:00-04:00,2026-08-03 23:40:28.144106-04:00,27928.144106,118.0,1.059999942779541
BRLT,2026-08-03 15:57:00-04:00,2026-08-03 23:40:28.144106-04:00,27748.144106,106.0,1.065000057220459
JZXN,2026-08-03 15:53:00-04:00,2026-08-03 23:40:28.144106-04:00,27988.144106,600.0,1.4800000190734863
JZXN,2026-08-03 15:54:00-04:00,2026-08-03 23:40:28.144106-04:00,27928.144106,130.0,1.5
JZXN,2026-08-03 15:55:00-04:00,2026-08-03 23:40:28.144106-04:00,27868.144106,1660.0,1.4901000261306763
JZXN,2026-08-03 15:57:00-04:00,2026-08-03 23:40:28.144106-04:00,27748.144106,1130.0,1.5199999809265137
JZXN,2026-08-03 15:58:00-04:00,2026-08-03 23:40:28.144106-04:00,27688.144106,1300.0,1.5199999809265137
JZXN,2026-08-03 15:59:00-04:00,2026-08-03 23:40:28.144106-04:00,27628.144106,880.0,1.5149999856948853
USDE,2026-08-03 15:41:00-04:00,2026-08-03 23:40:28.144106-04:00,28708.144106,767.0,1.738800048828125
USDE,2026-08-03 15:45:00-04:00,2026-08-03 23:40:28.144106-04:00,28468.144106,237.0,1.7100000381469727
USDE,2026-08-03 15:55:00-04:00,2026-08-03 23:40:28.144106-04:00,27868.144106,451.0,1.6933000087738037
USDE,2026-08-03 15:57:00-04:00,2026-08-03 23:40:28.144106-04:00,27748.144106,1000.0,1.7100000381469727
USDE,2026-08-03 15:58:00-04:00,2026-08-03 23:40:28.144106-04:00,27688.144106,1338.0,1.7100000381469727
USDE,2026-08-03 15:59:00-04:00,2026-08-03 23:40:28.144106-04:00,27628.144106,2124.0,1.7050000429153442
OXBR,2026-08-03 15:38:00-04:00,2026-08-03 23:40:48.191647-04:00,28908.191647,525.0,1.3849999904632568
OXBR,2026-08-03 15:40:00-04:00,2026-08-03 23:40:48.191647-04:00,28788.191647,525.0,1.4039000272750854
OXBR,2026-08-03 15:45:00-04:00,2026-08-03 23:40:48.191647-04:00,28488.191647,1015.0,1.3849999904632568
