ticker,yf_bars,al_bars,bar_coverage,vol_coverage,matched_bars,close_mae_bps
NWTG,400,19,0.0325,0.06149099710098673,13,128.23662631994492
HYFT,2068,480,0.17166344294003869,0.06185686705102603,355,25.377434318463205
USIO,1533,207,0.10437051532941943,0.06204128586949575,160,39.16488731280465
BRLS,408,16,0.029411764705882353,0.06215191878815945,12,300.16992338521044
GLBS,1748,255,0.10125858123569793,0.0632123588836079,177,28.83333406355199
BTBT,8165,5006,0.6126148193508879,0.06445815008688632,5002,20.968197792135097
HOVR,5887,2053,0.31153388822829964,0.0649846520658645,1834,18.62150963500559
PERF,3528,409,0.11564625850340136,0.06570003043885438,408,3.9803702356154633
OPK,6948,3320,0.42731721358664365,0.06576023177091123,2969,18.959597507259332
MIST,4396,1426,0.24863512283894448,0.06642098032740852,1093,22.292675063933277
NGEN,3932,1859,0.35910478128179046,0.06648735674305474,1412,21.04711728828019
VIP,932,828,0.17060085836909872,0.06653958394221081,159,28.087176896266662
CNTB,3645,1725,0.36570644718792866,0.066623387162217,1333,19.778794518276634
KOPN,7945,5025,0.6259282567652612,0.06740614919429477,4973,9.627704378240026
LPSN,1104,60,0.042572463768115944,0.06757950241074992,47,16.805611355847006
IZM,1217,52,0.03944124897288414,0.06820220918089691,48,96.95312374875606
NAUT,5165,1710,0.2693126815101646,0.06840919784653889,1391,20.262588861704348
DFDV,5016,2017,0.3484848484848485,0.0684369561336446,1748,13.024629312632968
BNC,2460,570,0.16910569105691056,0.06970533794335264,416,22.481178713067838
WBX,1198,80,0.0667779632721202,0.07001380480526294,80,60.43722061847281
LPCN,507,78,0.10256410256410256,0.07046483318633417,52,39.006454187043246
NEOV,5639,1982,0.31725483241709523,0.07098097570318757,1789,18.3668950449915
WNW,1039,13,0.009624639076034648,0.07149130182932525,10,100.2269030375753
ACON,1307,253,0.07115531752104055,0.07210606442285576,93,35.34212511592621
