tp,ratchet,etp,esl,trades,avg_pct,median_pct,win_rate,profit_factor,is_avg,oos_avg,drop_best10,target_rate,stop_rate,close_rate,median_minutes
10,True,18.0,4.0,55,0.6526029680480137,2.9999999999999982,60.0,1.2008166208812694,1.2739501817976797,0.09553305227245065,-1.3491191174971269,14.545454545454545,63.63636363636363,21.818181818181817,40.0
8,True,20.0,2.0,55,0.6115962763821752,0.9999999999999944,61.81818181818181,1.1909272549000798,0.17158380951867352,1.0060902121908322,-1.6400449958975583,16.363636363636363,60.0,23.636363636363637,43.0
6,True,26.0,3.0,55,0.6103122171481085,1.9999999999999964,63.63636363636363,1.2135017200911142,1.152046751857936,0.12461918602895335,-2.0916327789339757,9.090909090909092,70.9090909090909,20.0,32.0
15,True,35.0,9.0,55,0.5606882971674023,-1.1457712943990095,45.45454545454545,1.133047169380383,-1.1777392805400226,2.119278539249922,-2.250600924618138,5.454545454545454,58.18181818181818,36.36363636363637,79.0
15,True,20.0,9.0,55,0.557807996748738,-1.1457712943990095,45.45454545454545,1.1323636954794571,-0.7546623574631,1.7345055556972828,-1.8016213327814037,14.545454545454545,52.72727272727272,32.72727272727273,74.0
12,True,17.0,6.0,55,0.537859451658763,0.27794484990881596,50.90909090909091,1.1417891711604469,-0.6985968924548648,1.6464065187951198,-1.4719547234661434,16.363636363636363,56.36363636363636,27.27272727272727,53.0
15,True,35.0,14.0,55,0.53044241135518,-1.1457712943990095,45.45454545454545,1.12587004527587,0.14395253327554766,0.8769505779093328,-0.9964421913360242,0.0,67.27272727272727,32.72727272727273,75.0
6,False,,,55,0.5091131292086823,5.000000000000001,65.45454545454545,1.1784885838907793,1.1917122898163721,-0.10287232512924668,-0.23676898253040313,63.63636363636363,20.0,16.363636363636363,14.0
15,True,18.0,9.0,55,0.5032625422032825,-1.1457712943990095,45.45454545454545,1.1194204641573444,-0.4854315882323318,1.3896779694903854,-1.6995805164548738,16.363636363636363,50.90909090909091,32.72727272727273,74.0
8,True,28.0,7.0,55,0.4779676531193016,4.670543145058473,61.81818181818181,1.149211261521934,0.369975187058769,0.5747884847597793,-0.6267710016007848,1.8181818181818181,80.0,18.181818181818183,34.0
10,True,30.0,7.0,55,0.4591588511945583,4.837563851096586,60.0,1.141290698110697,0.34874432188721294,0.5581511878149364,-0.6886992486591709,1.8181818181818181,78.18181818181819,20.0,40.0
15,True,35.0,12.0,55,0.420576350376246,-1.1457712943990095,45.45454545454545,1.0997996448447096,-0.3700469728477135,1.129411053956347,-1.4404792559194914,1.8181818181818181,63.63636363636363,34.54545454545455,79.0
6,True,26.0,5.0,55,0.37964003676699,3.999999999999999,63.63636363636363,1.1328071085385734,0.47284403156402044,0.29607783453516984,-1.0648362467087018,3.6363636363636362,78.18181818181819,18.181818181818183,19.0
8,True,20.0,0.0,55,0.35716230167565804,-1.0,27.27272727272727,1.1006445567974643,-0.5974112836950071,1.2129868954562544,-1.9256341511803838,18.181818181818183,56.36363636363636,25.454545454545453,46.0
8,True,20.0,7.0,55,0.33251310766475617,4.670543145058473,61.81818181818181,1.1038034685892288,0.369975187058769,0.29892641579426205,-0.6267710016007848,1.8181818181818181,80.0,18.181818181818183,34.0
6,True,18.0,5.0,55,0.32509458222153464,3.999999999999999,63.63636363636363,1.1137258120457318,0.9728440315640193,-0.25564630339586536,-1.0648362467087018,5.454545454545454,76.36363636363637,18.181818181818183,19.0
10,True,22.0,7.0,55,0.31370430574001257,4.837563851096586,60.0,1.096531952379933,0.34874432188721294,0.2822891188494186,-0.6886992486591709,1.8181818181818181,78.18181818181819,20.0,40.0
10,True,18.0,0.0,55,0.2925294609914873,-1.0,29.09090909090909,1.0821980567856504,-0.13587282215654625,0.6766142665724828,-1.753283258070779,20.0,52.72727272727272,27.27272727272727,46.0
12,True,24.0,6.0,55,0.2598221967948832,0.27794484990881596,50.90909090909091,1.0684936814236845,-0.8524430463010181,1.2570255181912087,-2.157342432169009,9.090909090909092,63.63636363636363,27.27272727272727,53.0
